,make,model,year,kms,kind,price
7041,Volkswagen,Gol Trend,2015,60000,Hatchback,6348.65
7331,Volkswagen,Amarok,2016,29000,Pick-Up,18648.65
6745,Ford,Focus III,2013,75000,Hatchback,8108.08
7432,Volkswagen,Suran,2015,44000,Monovolumen,324.32
6489,Ford,Fiesta,2011,95000,Sedán,5000.0
4817,Honda,Fit,2012,71000,Hatchback,8918.92
5668,Volkswagen,Amarok,2013,130000,Pick-Up,12972.97
5471,Volkswagen,Gol Trend,2012,78000,Hatchback,4459.46
3394,Ford,Fiesta Kinetic Design,2012,68500,Hatchback,6756.76
9528,Volkswagen,Suran,2015,70000,Monovolumen,8378.38
7418,Ford,Fiesta Kinetic Design,2013,58000,Hatchback,8000.0
7952,Volkswagen,Tiguan,2012,63500,SUV,12972.97
5802,Mercedes Benz,Clase C,2013,67000,Sedán,12972.97
5877,Volkswagen,Gol,2012,99000,Hatchback,3783.78
916,Volkswagen,Vento,2011,97000,Sedán,7837.84
1921,Volkswagen,Bora,2011,92000,Sedán,7702.7
6573,Ford,Ecosport,2014,34000,SUV,8648.65
7196,Volkswagen,Bora,2011,70000,Sedán,6486.49
3522,Volkswagen,Fox,2011,99000,Hatchback,6459.46
6353,Volkswagen,Bora,2013,128000,Sedán,7418.92
772,Ford,Ecosport,2016,31000,SUV,10270.27
1232,Ford,Ecosport,2014,70000,SUV,8918.92
9176,Ford,Focus III,2014,87333,Hatchback,8918.92
6269,Ford,Focus III,2015,83000,Sedán,11756.76
1635,Volkswagen,Fox,2012,95000,Hatchback,5405.41
2862,Ford,Ka,2012,120000,Hatchback,3729.73
533,Ford,Ecosport,2017,7600,SUV,11486.49
2147,Ford,Fiesta Kinetic Design,2013,82000,Sedán,8378.38
4300,Volkswagen,Tiguan,2013,45950,SUV,17567.57
5449,Ford,Ranger,2015,80000,Pick-Up,21081.08
6021,Volkswagen,Tiguan,2013,121000,SUV,17027.03
4527,Volkswagen,Bora,2013,106000,Sedán,8648.65
8875,Ford,Fiesta Kinetic Design,2013,70000,Hatchback,6891.89
5854,Volkswagen,Gol Country,2012,99700,Rural,4729.73
6549,Volkswagen,Vento,2013,89000,Sedán,8243.24
9144,Ford,Ecosport,2015,27500,SUV,12432.43
4219,Volkswagen,Suran,2014,39000,Monovolumen,7027.03
4496,Ford,Ka,2011,55000,Hatchback,3918.92
8681,Volkswagen,Amarok,2012,110000,Pick-Up,15675.68
7336,Volkswagen,Gol Trend,2013,71000,Hatchback,5000.0
6774,Volkswagen,Amarok,2013,90000,Pick-Up,14864.86
1277,Volkswagen,Gol,2013,72000,Hatchback,4256.76
235,Volkswagen,Amarok,2017,26700,Pick-Up,18864.86
2264,Volkswagen,Suran,2016,7000,Monovolumen,8648.65
6209,Ford,Focus II,2013,68000,Hatchback,6891.89
9002,Volkswagen,Up!,2017,26000,Hatchback,8918.92
4939,Ford,Focus II,2011,104000,Sedán,5945.95
7037,Ford,Focus III,2014,51000,Sedán,11864.86
4031,Volkswagen,Passat,2011,130000,Sedán,9459.46
4569,Ford,Fiesta,2011,98000,Sedán,4459.46
8277,Volkswagen,Suran,2013,93000,Monovolumen,6290.54
5942,Ford,Focus II,2011,135000,Hatchback,7162.16
3209,Ford,Fiesta Kinetic Design,2015,34500,Hatchback,7270.27
278,Ford,Ecosport,2012,42000,SUV,7027.03
7495,Volkswagen,Vento,2013,57000,Sedán,13513.51
199,Volkswagen,Fox,2012,43000,Hatchback,5810.81
2875,Volkswagen,Amarok,2013,105000,Pick-Up,15135.14
1788,Volkswagen,Fox,2012,97000,Hatchback,5405.41
9475,Volkswagen,Vento,2012,80000,Sedán,8918.92
5938,Honda,City,2012,90000,Sedán,8378.38
3139,Volkswagen,Amarok,2012,110000,Pick-Up,17567.57
4584,Ford,Ka,2011,89000,Hatchback,4000.0
4005,Honda,HR-V,2016,42000,SUV,20270.27
1654,Ford,Ecosport,2013,56000,SUV,10243.24
4929,Volkswagen,Suran,2011,155000,Monovolumen,5527.03
416,Volkswagen,Gol Trend,2014,54250,Hatchback,6621.62
14,Volkswagen,Amarok,2012,117000,Pick-Up,15270.27
1174,Volkswagen,Saveiro,2012,115000,Pick-Up,5270.27
2515,Volkswagen,Vento,2014,85000,Sedán,13378.38
4685,Ford,Fiesta Kinetic Design,2013,68000,Hatchback,8781.08
6144,Ford,Mustang,2017,14000,Coupé,1618.92
2545,Ford,Ranger,2012,105000,Pick-Up,9189.19
2644,Ford,Fiesta Kinetic Design,2014,61000,Hatchback,9459.46
8416,Volkswagen,Gol Trend,2013,87000,Hatchback,4675.68
5022,Ford,Fiesta Kinetic Design,2011,89000,Hatchback,6729.73
