,make,model,year,kms,kind,price
1839,Ford,Ecosport,2013,68000,SUV,9675.68
270,Volkswagen,Bora,2014,75000,Sedán,7567.3
4000,Ford,Ranger,2015,63000,Pick-Up,13510.81
4539,Ford,Ka,2012,112000,Hatchback,4324.32
136,Ford,Ranger,2016,85000,Pick-Up,21351.35
2751,Volkswagen,Vento,2013,58000,Sedán,9189.19
8941,Ford,Focus II,2011,112000,Hatchback,7162.16
1677,Volkswagen,Fox,2011,70000,Hatchback,5675.68
9871,Ford,Focus III,2018,13000,Hatchback,16351.35
2520,Ford,Fiesta Kinetic Design,2016,25000,Hatchback,9189.19
2129,Ford,Focus II,2013,70000,Sedán,7972.97
5700,Volkswagen,Gol Trend,2015,50000,Hatchback,5945.95
6586,Ford,Focus III,2017,15000,Hatchback,15405.41
21,Ford,Fiesta Kinetic Design,2014,51000,Hatchback,9594.59
8897,Ford,Fiesta Kinetic Design,2012,101000,Hatchback,7297.3
3898,Ford,Ecosport,2014,31000,SUV,11081.08
4150,Ford,Fiesta Kinetic Design,2013,58000,Sedán,8378.38
8508,Volkswagen,Suran,2014,45266,Monovolumen,8378.38
3090,Volkswagen,Amarok,2013,139000,Pick-Up,14594.59
4892,Volkswagen,Bora,2012,97000,Sedán,6791.22
5947,Volkswagen,Gol Trend,2012,64000,Hatchback,4594.59
3118,Honda,City,2014,70325,Sedán,7972.97
3340,Volkswagen,Saveiro,2012,84500,Pick-Up,6351.35
4478,Volkswagen,Suran,2011,106000,Monovolumen,4783.78
6466,Chrysler,PT Cruiser,2011,82000,Hatchback,5108.11
9753,Ford,Fiesta Kinetic Design,2015,40000,Hatchback,7810.81
5315,Volkswagen,Saveiro,2014,76000,Pick-Up,7432.43
2739,Ford,Ecosport,2011,98500,SUV,5270.27
4017,Ford,Ranger,2011,125000,Pick-Up,8918.92
4839,Ford,Ka,2013,65000,Hatchback,5270.27
8543,Volkswagen,Golf,2015,53000,Hatchback,18081.08
653,Volkswagen,Vento,2011,103000,Sedán,7567.57
3728,Ford,Focus III,2014,88000,Hatchback,9864.86
1320,Volkswagen,Suran Cross,2014,43000,Monovolumen,6891.89
9960,Volkswagen,Voyage,2013,103000,Sedán,4459.46
1300,Ford,Ecosport,2014,52011,SUV,10324.32
665,Volkswagen,Bora,2011,101000,Sedán,6486.49
8747,Volkswagen,Fox,2011,133000,Hatchback,4864.86
1512,Ford,Fiesta Kinetic Design,2014,58000,Hatchback,6486.49
386,Ford,Fiesta,2011,48000,Sedán,4594.59
2981,Honda,CR-V,2013,119000,SUV,13240.54
6807,Volkswagen,Saveiro,2018,11000,Pick-Up,12648.65
3880,Volkswagen,Amarok,2015,45000,Pick-Up,17513.51
8162,Honda,Fit,2011,148000,Hatchback,7297.3
4500,Ford,Fiesta Kinetic Design,2015,32000,Hatchback,7567.57
9104,Ford,Ranger,2011,186000,Pick-Up,10270.27
6603,Volkswagen,Golf,2018,7000,Hatchback,20270.27
8333,Volkswagen,Bora,2011,81000,Sedán,7567.57
1438,Volkswagen,Fox,2012,78000,Hatchback,4783.78
9969,Volkswagen,Bora,2013,118000,Sedán,8108.11
9896,Mercedes Benz,Clase E,2012,130000,Sedán,16729.73
4858,Ford,Focus III,2015,43000,Hatchback,11864.86
7941,Ford,Focus II,2012,108351,Hatchback,7400.0
2178,Volkswagen,Amarok,2011,201346,Pick-Up,10702.7
7172,Volkswagen,Suran,2013,80000,Monovolumen,6081.08
2702,Honda,Civic,2012,72000,Sedán,7972.97
3471,Ford,Fiesta Kinetic Design,2015,79000,Hatchback,10540.54
684,Ford,Focus II,2011,90000,Sedán,6081.08
3853,Ford,Focus III,2016,33300,Sedán,10675.68
5800,Volkswagen,Gol Trend,2014,44000,Hatchback,7024.32
4978,Volkswagen,Fox,2014,36200,Hatchback,8378.38
2534,Ford,Fiesta Kinetic Design,2014,56000,Hatchback,9324.32
1357,Ford,Focus II,2011,80000,Sedán,6972.97
6099,Volkswagen,Vento,2011,144000,Sedán,7835.14
1971,Volkswagen,Gol Trend,2011,143000,Hatchback,4864.86
534,Ford,Focus III,2017,15000,Sedán,15405.41
8144,Volkswagen,Gol Trend,2011,72000,Hatchback,4567.57
6061,Volkswagen,Saveiro,2017,24000,Pick-Up,10808.11
6678,Ford,Ranger,2015,65000,Pick-Up,12702.7
7736,Volkswagen,Crossfox,2011,67000,Hatchback,6216.22
2109,Ford,Ecosport,2011,120000,SUV,6081.08
4836,Volkswagen,Saveiro,2013,115000,Pick-Up,6081.08
3159,Ford,Focus II,2011,110000,Sedán,6891.89
6714,Mercedes Benz,Clase GLK,2013,84000,SUV,756.76
6374,Volkswagen,Gol,2014,38000,Hatchback,3783.78
9833,Volkswagen,Suran,2013,92000,Monovolumen,7162.16
1716,Ford,Fiesta Kinetic Design,2013,77000,Hatchback,7432.43
334,Ford,Fiesta Kinetic Design,2012,38000,Hatchback,7702.7
948,Volkswagen,Vento,2015,13000,Sedán,12162.16
3307,Honda,CR-V,2011,93000,SUV,11891.89
1072,Volkswagen,Gol Trend,2017,19000,Hatchback,270.27
7280,Volkswagen,Golf,2017,15500,Hatchback,17567.57
1695,Volkswagen,Voyage,2014,66370,Sedán,6351.35
1580,Ford,Ecosport,2016,40000,SUV,12027.03
5184,Ford,Focus III,2015,62000,Hatchback,12567.57
220,Honda,Civic,2013,68000,Sedán,11621.62
4553,Volkswagen,Suran,2012,135000,Monovolumen,6486.49
6134,Volkswagen,Fox,2013,91000,Hatchback,5135.14
5167,Ford,Ka,2013,90000,Hatchback,3918.92
3202,Volkswagen,Vento,2012,113000,Sedán,8108.11
6419,Volkswagen,Gol,2012,85000,Hatchback,4594.59
5524,Ford,Ranger,2012,98000,Pick-Up,9459.46
2035,Ford,Ecosport,2013,62000,SUV,9324.32
2443,Volkswagen,Polo,2016,41251,Hatchback,10000.0
8123,Ford,Focus II,2011,73000,Hatchback,7000.0
6710,Ford,Focus III,2016,19000,Hatchback,14594.59
9127,Volkswagen,Gol,2011,84000,Hatchback,3513.51
3938,Honda,City,2012,120000,Sedán,7432.16
9940,Volkswagen,Bora,2011,116000,Sedán,6567.57
3881,Volkswagen,Amarok,2018,6500,Pick-Up,21081.08
6202,Mercedes Benz,ML,2013,70000,SUV,1216.22
2123,Volkswagen,Amarok,2012,116000,Pick-Up,15945.95
7180,Ford,Focus II,2011,137000,Sedán,6351.35
4284,Honda,Civic,2011,135000,Sedán,6540.54
8999,Ford,Ka,2013,63000,Hatchback,4729.73
4378,Volkswagen,Fox,2011,57000,Hatchback,5945.95
6172,Volkswagen,Vento,2011,159000,Sedán,7824.32
5746,Honda,Civic,2014,60000,Sedán,9594.59
6213,Volkswagen,New Beetle,2011,82000,Cabriolet,8108.08
4852,Ford,Focus II,2012,96000,Hatchback,7702.7
2837,Mercedes Benz,Clase C,2012,112000,Sedán,540.27
2743,Volkswagen,Golf,2016,35600,Hatchback,19594.59
5530,Ford,Ecosport,2013,80000,SUV,7972.97
2929,Volkswagen,Suran,2013,61000,Monovolumen,7432.43
4854,Ford,Ranger,2012,110000,Pick-Up,14054.05
4141,Volkswagen,Voyage,2013,70000,Sedán,5945.95
1022,Ford,Focus II,2012,83500,Hatchback,7027.03
4024,Ford,Fiesta Kinetic Design,2011,145000,Sedán,5540.54
2737,Volkswagen,Suran,2014,93000,Monovolumen,6351.35
7157,Volkswagen,Passat,2012,110000,Sedán,10540.54
6725,Ford,Mondeo,2015,50000,Sedán,21081.08
7234,Ford,Ka,2013,60000,Hatchback,4864.86
2827,Volkswagen,Suran,2011,108138,Monovolumen,5270.27
3841,Volkswagen,Amarok,2015,78000,Pick-Up,19405.41
6309,Mercedes Benz,Sprinter,2013,130000,Furgón,22162.16
3560,Volkswagen,Voyage,2011,120000,Sedán,4594.59
6803,Ford,Focus II,2012,85500,Sedán,5270.27
1339,Ford,Focus III,2014,75000,Hatchback,7567.57
1711,Volkswagen,Vento,2015,60000,Sedán,12432.43
8836,Volkswagen,Polo,2016,17000,Hatchback,9459.46
9948,Volkswagen,Fox,2012,87000,Hatchback,6810.81
2542,Volkswagen,Gol Trend,2016,38500,Hatchback,7567.57
6768,Volkswagen,Gol Trend,2014,49000,Hatchback,6621.62
606,Honda,Civic,2011,154000,Sedán,6108.11
4427,Volkswagen,Voyage,2012,85000,Sedán,5135.14
7294,Honda,Fit,2011,47500,Hatchback,7297.3
9765,Volkswagen,Saveiro,2015,65000,Pick-Up,8918.92
3789,Ford,Ranger,2016,29000,Pick-Up,29459.46
3092,Volkswagen,Amarok,2013,95000,Pick-Up,12432.43
7368,Ford,Ranger,2015,59000,Pick-Up,17297.3
4415,Volkswagen,Amarok,2011,129500,Pick-Up,14594.59
3599,Volkswagen,Vento,2014,97500,Sedán,9189.19
4734,Honda,City,2011,105997,Sedán,6729.73
7254,Volkswagen,Amarok,2012,100000,Pick-Up,15945.95
9717,Volkswagen,Bora,2013,63000,Sedán,6216.22
7120,Mercedes Benz,Clase E,2014,10000,Coupé,1618.92
9426,Volkswagen,Fox,2014,40000,Hatchback,6486.49
4076,Ford,Fiesta,2015,49000,Hatchback,8243.24
8568,Volkswagen,Suran,2011,88000,Monovolumen,5810.81
1229,Volkswagen,Suran,2011,80000,Monovolumen,5810.81
8622,Volkswagen,Amarok,2013,117000,Pick-Up,12972.97
7053,Volkswagen,Fox,2011,60978,Hatchback,5135.14
8149,Volkswagen,Fox,2016,38000,Hatchback,10135.14
635,Volkswagen,Bora,2011,110000,Sedán,7702.7
3972,Volkswagen,Golf,2016,36500,Hatchback,17297.3
9061,Mercedes Benz,Clase C,2012,100000,Sedán,17024.32
7502,Volkswagen,Amarok,2017,40000,Pick-Up,20135.14
3094,Volkswagen,Vento,2015,38000,Sedán,11864.86
4068,Volkswagen,Amarok,2012,120000,Pick-Up,16216.22
1190,Volkswagen,Bora,2011,83500,Sedán,5594.59
6687,Volkswagen,Voyage,2013,66000,Sedán,7000.0
5335,Ford,Focus III,2015,50000,Hatchback,9324.32
8113,Ford,Ecosport,2013,46000,SUV,10513.51
8422,Volkswagen,Gol Country,2012,108808,Rural,4324.32
7380,Volkswagen,Gol Trend,2013,86500,Hatchback,5405.41
2730,Honda,Fit,2011,70100,Hatchback,7294.59
9298,Ford,Ranger,2015,78000,Pick-Up,15135.14
7119,Volkswagen,Gol Trend,2011,133000,Hatchback,4324.32
1382,Volkswagen,Amarok,2014,109000,Pick-Up,11621.62
5676,Ford,Focus III,2015,34000,Hatchback,10243.24
5078,Volkswagen,Bora,2013,103000,Sedán,6594.59
5376,Volkswagen,Tiguan,2013,117400,SUV,14594.59
9034,Volkswagen,Gol Trend,2013,70000,Hatchback,6216.22
2695,Volkswagen,Voyage,2012,89000,Sedán,6189.19
8058,Volkswagen,Amarok,2015,64000,Pick-Up,20135.14
5890,Mercedes Benz,Clase B,2011,114000,Monovolumen,8648.65
9509,Volkswagen,Vento,2012,97300,Sedán,10229.73
9531,Ford,Ecosport,2013,86000,SUV,10540.54
3310,Mercedes Benz,Clase GLE,2017,20000,SUV,3243.24
8807,Ford,Focus III,2015,49200,Hatchback,12108.11
607,Ford,Focus II,2012,103000,Hatchback,6216.22
8235,Volkswagen,Crossfox,2012,88000,Hatchback,6483.78
2094,Volkswagen,Saveiro,2013,50000,Pick-Up,7027.03
3462,Ford,Fiesta Kinetic Design,2013,88000,Hatchback,8108.11
476,Mercedes Benz,Clase A,2014,65900,Hatchback,24053.78
2321,Volkswagen,Golf,2016,42000,Hatchback,17837.84
160,Ford,Ranger,2016,81500,Pick-Up,21594.59
8008,Ford,Focus III,2014,46600,Hatchback,9189.19
9623,Mercedes Benz,Sprinter,2015,44000,Furgón,21621.62
7965,Ford,Fiesta Kinetic Design,2014,29000,Hatchback,10783.78
982,Volkswagen,Saveiro,2017,24000,Pick-Up,10810.81
7891,Honda,HR-V,2016,18000,SUV,540.54
365,Volkswagen,Up!,2017,16000,Hatchback,8027.03
7564,Ford,Ranger,2013,143000,Pick-Up,13243.24
505,Ford,Fiesta Kinetic Design,2013,90000,Hatchback,7162.16
5697,Ford,Ecosport,2014,55000,SUV,9459.46
2155,Honda,Fit,2011,86000,Hatchback,6621.62
8888,Volkswagen,Voyage,2011,145000,Sedán,4324.32
2824,Volkswagen,Amarok,2015,100000,Pick-Up,20540.54
6246,Ford,Focus III,2016,37000,Sedán,12432.43
8846,Volkswagen,The Beetle,2016,30000,Hatchback,540.27
9408,Volkswagen,Amarok,2015,98000,Pick-Up,22972.97
3257,Volkswagen,Suran,2013,90000,Monovolumen,5540.54
7010,Volkswagen,Fox,2011,97000,Hatchback,4648.65
22,Volkswagen,Gol Trend,2015,19000,Hatchback,5810.81
3993,Volkswagen,Tiguan,2011,153000,SUV,9729.73
8255,Volkswagen,Golf,2013,53600,Hatchback,16081.08
6556,Volkswagen,Amarok,2011,185000,Pick-Up,11621.62
5409,Volkswagen,Polo,2016,25000,Hatchback,8783.78
882,Volkswagen,Gol,2012,65000,Hatchback,3808.11
8394,Volkswagen,Vento,2016,32000,Sedán,12162.16
1734,Volkswagen,Suran,2015,36000,Monovolumen,7162.16
8717,Ford,Focus II,2012,63000,Hatchback,7297.3
382,Ford,Fiesta Kinetic Design,2011,111000,Hatchback,5405.41
3814,Ford,Ecosport,2013,90000,SUV,9459.46
472,Ford,Ka,2013,70000,Hatchback,4864.86
677,Ford,Focus III,2017,22000,Hatchback,17972.97
5380,Volkswagen,Amarok,2013,128000,Pick-Up,12567.57
5730,Volkswagen,Fox,2013,45000,Hatchback,7567.57
6904,Volkswagen,Vento,2012,95000,Sedán,7837.84
1297,Ford,Focus II,2012,91000,Hatchback,7432.43
8425,Volkswagen,Bora,2011,142000,Sedán,6621.62
7410,Volkswagen,Fox,2013,107000,Hatchback,4864.86
7930,Volkswagen,Crossfox,2012,66000,Hatchback,6702.7
4533,Ford,Ranger,2015,47000,Pick-Up,14324.32
8968,Volkswagen,Suran,2011,155000,Monovolumen,5270.27
2194,Volkswagen,Vento,2012,90000,Sedán,7972.97
1042,Honda,City,2013,60000,Sedán,8783.78
7791,Volkswagen,Voyage,2017,7450,Sedán,8378.38
1726,Ford,Focus II,2011,73000,Hatchback,7027.03
4798,Volkswagen,Golf,2017,17000,Hatchback,19405.41
327,Volkswagen,Tiguan,2011,96741,SUV,12432.43
7062,Volkswagen,Gol Trend,2013,77000,Hatchback,6216.22
3371,Volkswagen,Gol Trend,2014,48000,Hatchback,5945.95
9154,Volkswagen,The Beetle,2017,38000,Hatchback,20270.27
4483,Volkswagen,Amarok,2015,74000,Pick-Up,16081.08
8133,Volkswagen,Gol Trend,2011,107000,Hatchback,4862.16
3809,Ford,Focus III,2014,70000,Hatchback,12972.97
2556,Volkswagen,Suran,2016,23000,Monovolumen,10067.57
2438,Volkswagen,Suran,2013,48000,Monovolumen,7781.08
9945,Ford,Fiesta Kinetic Design,2014,65000,Hatchback,7297.3
6744,Honda,HR-V,2016,40000,SUV,20270.27
5378,Ford,Ecosport,2013,52000,SUV,9432.43
1866,Volkswagen,Fox,2013,53000,Hatchback,5000.0
6646,Ford,Fiesta Kinetic Design,2013,69600,Hatchback,7000.0
9087,Volkswagen,Bora,2014,82000,Sedán,6756.76
7429,Ford,Fiesta Kinetic Design,2015,60000,Hatchback,7837.84
5904,Volkswagen,Amarok,2013,108000,Pick-Up,11891.89
6301,Honda,Fit,2011,85000,Hatchback,7432.43
8299,Volkswagen,Vento,2012,125000,Sedán,7513.51
9011,Volkswagen,Gol Trend,2011,64000,Hatchback,4594.59
8733,Ford,Ranger,2015,100000,Pick-Up,22162.16
7081,Volkswagen,Golf,2016,40000,Hatchback,15675.68
492,Ford,Ranger,2015,35000,Pick-Up,10808.11
1727,Volkswagen,Suran,2014,62000,Monovolumen,6756.76
3708,Ford,Focus II,2011,102000,Hatchback,5945.95
8293,Ford,Focus II,2011,45000,Sedán,6621.62
779,Volkswagen,Passat Variant,2011,94000,Rural,11621.62
4393,Ford,Fiesta Kinetic Design,2014,41000,Sedán,9729.73
5018,Honda,CR-V,2011,92000,SUV,10405.41
141,Volkswagen,Bora,2013,90000,Sedán,8108.11
2107,Volkswagen,Crossfox,2012,55400,Hatchback,5270.27
9608,Volkswagen,Fox,2014,41500,Hatchback,8243.24
2832,Volkswagen,Gol Trend,2013,88000,Hatchback,5918.92
1990,Volkswagen,Gol Trend,2017,18000,Hatchback,7432.43
8439,Ford,Focus III,2014,61000,Hatchback,10405.41
1957,Ford,Fiesta Kinetic Design,2014,79900,Sedán,8105.41
7373,Volkswagen,Vento,2011,65000,Sedán,10810.81
4492,Volkswagen,Suran,2016,23000,Monovolumen,7162.16
4580,Volkswagen,Suran Cross,2015,45000,Monovolumen,9864.86
8245,Volkswagen,Gol,2011,61155,Hatchback,4459.46
2838,Volkswagen,Suran Cross,2011,156000,Monovolumen,5060.0
3227,Volkswagen,Gol Trend,2011,133000,Hatchback,4837.84
8513,Ford,Ranger,2015,70000,Pick-Up,12567.57
1074,Ford,Ecosport,2012,98000,SUV,6162.16
8629,Ford,Ecosport,2015,50000,SUV,10270.27
7899,Volkswagen,Saveiro,2014,100000,Pick-Up,6891.89
9873,Volkswagen,Gol,2011,100000,Hatchback,3486.49
1650,Ford,Ecosport,2015,38000,SUV,12156.76
8571,Ford,Focus III,2014,22000,Hatchback,12432.43
7377,Volkswagen,Vento,2011,91000,Sedán,9459.46
4668,Ford,Focus II,2011,87000,Sedán,6216.22
2138,Ford,Fiesta Kinetic Design,2014,56000,Hatchback,8081.08
1998,Volkswagen,Fox,2013,102000,Hatchback,6891.89
5287,Ford,Focus III,2014,62000,Hatchback,11081.08
3539,Volkswagen,Vento,2013,115000,Sedán,12432.43
2916,Ford,Ka,2012,45000,Hatchback,4054.05
8491,Ford,Ecosport,2015,36000,SUV,11486.49
5459,Ford,Fiesta Kinetic Design,2011,140000,Sedán,7567.57
558,Volkswagen,Saveiro,2014,85000,Pick-Up,7567.57
2713,Volkswagen,Suran,2012,89200,Monovolumen,5054.05
3260,Volkswagen,Gol Trend,2016,22000,Hatchback,5945.95
1251,Ford,Fiesta Kinetic Design,2015,27200,Hatchback,6756.76
2043,Volkswagen,Saveiro,2011,148500,Pick-Up,5675.68
9434,Volkswagen,Passat,2013,106000,Sedán,11351.35
2424,Ford,Fiesta Kinetic Design,2012,78000,Hatchback,6483.78
8250,Ford,Ecosport,2013,60000,SUV,7783.78
2583,Ford,Ecosport,2012,37500,SUV,7432.43
7994,Volkswagen,The Beetle,2017,12000,Hatchback,19054.05
1034,Ford,Mondeo,2018,6000,Sedán,28648.65
1196,Ford,Fiesta Kinetic Design,2011,47000,Hatchback,6081.08
2891,Volkswagen,Bora,2013,82000,Sedán,7351.35
1026,Volkswagen,Fox,2014,29000,Hatchback,5675.68
8216,Volkswagen,Suran,2011,136000,Monovolumen,5675.68
636,Volkswagen,Vento,2012,62000,Sedán,12297.3
8950,Ford,Ecosport,2012,65000,SUV,6756.76
3045,Volkswagen,Bora,2011,64000,Sedán,7972.97
3742,Ford,Fiesta Kinetic Design,2018,14000,Sedán,13513.51
8000,Volkswagen,Gol,2013,100000,Hatchback,4054.05
9967,Volkswagen,Vento,2013,66000,Sedán,9729.73
5157,Volkswagen,Vento,2011,74000,Sedán,9459.46
4193,Volkswagen,Touareg,2012,105000,SUV,30030.03
9414,Volkswagen,Golf,2012,63003,Hatchback,15675.68
8580,Ford,Fiesta Kinetic Design,2015,51000,Sedán,10000.0
9128,Ford,Ranger,2016,28000,Pick-Up,14864.86
7996,Volkswagen,Gol Trend,2013,114000,Hatchback,5675.68
8553,Volkswagen,Vento,2011,86000,Sedán,9189.19
7616,Ford,Ecosport,2011,65000,SUV,6216.22
8427,Ford,Fiesta Kinetic Design,2014,75000,Hatchback,7297.3
1404,Ford,Ecosport,2012,85000,SUV,5405.41
2403,Ford,Ranger,2014,91000,Pick-Up,16486.49
5485,Volkswagen,Gol Trend,2015,50000,Hatchback,6351.35
2570,Volkswagen,Gol Trend,2012,82500,Hatchback,4594.59
8698,Volkswagen,Crossfox,2012,46000,Hatchback,7567.57
4487,Ford,Ecosport,2013,81000,SUV,9594.59
5032,Volkswagen,Saveiro,2011,121000,Pick-Up,5945.95
7477,Volkswagen,Saveiro,2016,85002,Pick-Up,9189.24
8819,Ford,Fiesta Kinetic Design,2013,62000,Hatchback,7432.43
2186,Mercedes Benz,Clase E,2011,65000,Sedán,21178.38
1283,Ford,Mondeo,2012,89000,Sedán,10270.27
7904,Ford,Fiesta Kinetic Design,2014,84000,Hatchback,6891.89
5796,Ford,Focus III,2016,28000,Hatchback,13243.24
845,Volkswagen,Gol Trend,2013,56000,Hatchback,5540.54
2506,Volkswagen,Suran,2014,43000,Monovolumen,7429.73
4206,Volkswagen,Vento Variant,2013,43000,Rural,8513.51
579,Mercedes Benz,Clase C,2011,85000,Sedán,16216.22
3812,Ford,Ka,2012,71000,Hatchback,3918.92
3020,Ford,Ka,2013,43000,Hatchback,4054.05
223,Ford,Fiesta,2011,73000,Sedán,3918.92
7685,Volkswagen,Suran,2017,26000,Monovolumen,10810.81
54,Volkswagen,Suran,2013,70000,Monovolumen,7432.43
110,Ford,Ranger,2014,65000,Pick-Up,16486.49
6243,Ford,Fiesta Kinetic Design,2011,96000,Sedán,7162.16
1175,Ford,Ecosport,2014,40500,SUV,11891.89
5957,Volkswagen,Amarok,2014,79000,Pick-Up,12162.16
8618,Honda,Fit,2012,77581,Hatchback,9324.32
9111,Honda,City,2012,92000,Sedán,7837.84
9897,Volkswagen,Voyage,2013,65245,Sedán,6351.35
1741,Volkswagen,Vento,2012,93000,Sedán,10270.27
5302,Volkswagen,Fox,2011,56000,Hatchback,5729.73
1504,Volkswagen,Bora,2013,91000,Sedán,7297.3
7981,Volkswagen,Golf,2016,26300,Hatchback,17567.57
3992,Volkswagen,Amarok,2011,115000,Pick-Up,15405.41
8806,Ford,Kuga,2012,110000,SUV,12162.16
8983,Volkswagen,Suran,2013,84766,Monovolumen,5270.27
6133,Ford,Ranger,2015,100000,Pick-Up,15945.95
7349,Volkswagen,Suran,2013,112000,Monovolumen,5675.68
1400,Ford,Ecosport,2012,126000,SUV,6081.08
5951,Volkswagen,Suran,2012,80000,Monovolumen,6459.46
5725,Volkswagen,Amarok,2012,125000,Pick-Up,13486.49
821,Volkswagen,Suran,2012,125000,Monovolumen,6081.08
2787,Volkswagen,Scirocco,2016,28000,Coupé,1135.14
2860,Mercedes Benz,Clase GLK,2012,120000,SUV,20270.27
1374,Ford,Fiesta Kinetic Design,2015,26000,Hatchback,8054.05
1396,Ford,Fiesta Kinetic Design,2016,38000,Hatchback,9162.16
1273,Ford,Focus III,2015,22300,Hatchback,14324.32
9560,Ford,Focus III,2016,41000,Sedán,15810.81
9908,Ford,Fiesta Kinetic Design,2013,78000,Hatchback,7972.97
1368,Ford,Fiesta Kinetic Design,2013,80000,Hatchback,7810.81
5120,Ford,Ecosport,2013,73000,SUV,10094.59
262,Ford,Focus III,2013,40000,Sedán,9864.86
3749,Volkswagen,Crossfox,2012,85000,Hatchback,5267.57
6914,Ford,Ranger,2016,48000,Pick-Up,26756.76
5574,Volkswagen,Gol Trend,2014,75000,Hatchback,6351.35
6494,Volkswagen,Passat,2011,70000,Sedán,12837.84
5703,Ford,Ranger,2018,13800,Pick-Up,18918.92
5855,Ford,Ecosport,2013,57100,SUV,9594.59
5760,Ford,Focus III,2016,36000,Hatchback,12027.03
2011,Ford,Fiesta Kinetic Design,2012,99700,Sedán,5945.95
1093,Volkswagen,Gol,2012,85000,Hatchback,4189.19
1180,Volkswagen,Gol Trend,2015,44400,Hatchback,6756.76
9341,Volkswagen,Fox,2012,84000,Hatchback,4835.14
8473,Volkswagen,Amarok,2012,103000,Pick-Up,14591.89
7922,Volkswagen,Gol Trend,2013,87000,Hatchback,5135.14
4021,Honda,City,2014,72000,Sedán,8918.92
8745,Volkswagen,Bora,2013,83000,Sedán,7027.03
4706,Ford,Ranger,2014,77000,Pick-Up,13648.65
1610,Volkswagen,CC,2013,52300,Sedán,15405.41
201,Ford,Focus III,2014,68000,Hatchback,10675.68
2033,Ford,Ka,2014,73000,Hatchback,3918.92
184,Volkswagen,Saveiro,2015,15000,Pick-Up,7162.16
7968,Ford,Ecosport,2017,12000,SUV,12837.84
2840,Ford,Focus III,2016,32000,Sedán,13918.92
6258,Volkswagen,Gol,2011,78000,Hatchback,3648.65
5783,Ford,Ka,2013,70000,Hatchback,4729.73
1025,Volkswagen,The Beetle,2018,9400,Hatchback,20513.51
8129,Volkswagen,Gol,2011,103000,Hatchback,3648.65
2151,Volkswagen,Scirocco,2013,91000,Coupé,418.92
8569,Ford,Ranger,2014,41000,Pick-Up,22162.16
2409,Volkswagen,Fox,2011,78200,Hatchback,5945.95
6411,Mercedes Benz,Clase GLK,2012,48300,SUV,675.68
3402,Mercedes Benz,Clase B,2011,98500,Monovolumen,6756.76
347,Volkswagen,Gol Trend,2014,68700,Hatchback,5270.27
6971,Volkswagen,Gol,2012,39000,Hatchback,4594.59
7048,Volkswagen,Suran,2012,130000,Monovolumen,5132.43
3844,Ford,Ka,2013,54000,Hatchback,5000.0
5469,Ford,Fiesta Kinetic Design,2015,62000,Hatchback,7027.03
1803,Honda,HR-V,2017,8900,SUV,21054.05
4581,Ford,Fiesta Kinetic Design,2015,40000,Sedán,8648.65
4110,Volkswagen,Gol,2012,48000,Hatchback,4594.59
4857,Mercedes Benz,Clase C,2013,95000,Sedán,20270.27
9507,Volkswagen,Voyage,2011,90000,Sedán,3918.92
384,Volkswagen,Golf Variant,2016,55000,Rural,17567.57
1494,Mercedes Benz,Clase C,2013,127000,Sedán,18081.08
3015,Honda,City,2014,83900,Sedán,7727.03
172,Volkswagen,Amarok,2017,40000,Pick-Up,18918.92
289,Ford,Ka,2013,62000,Hatchback,3918.92
5608,Ford,Fiesta Kinetic Design,2014,75500,Hatchback,8243.24
7856,Volkswagen,Bora,2011,157000,Sedán,7027.03
4846,Volkswagen,Suran,2014,59000,Monovolumen,8108.11
9574,Ford,Ecosport,2012,132000,SUV,6756.76
1547,Volkswagen,Amarok,2016,45000,Pick-Up,14864.86
163,Ford,Ecosport,2011,140000,SUV,6081.08
6279,Volkswagen,Fox,2011,93000,Hatchback,5810.81
335,Volkswagen,Bora,2012,60000,Sedán,7027.03
4347,Volkswagen,Voyage,2011,97000,Sedán,4864.86
6284,Volkswagen,Amarok,2015,98000,Pick-Up,21621.62
9906,Volkswagen,Gol Trend,2012,89000,Hatchback,4648.65
6344,Volkswagen,Gol,2012,64507,Hatchback,4729.73
6874,Volkswagen,Gol,2012,60000,Hatchback,3648.65
3871,Volkswagen,Vento,2011,57700,Sedán,9729.73
8472,Volkswagen,Polo,2016,50000,Hatchback,8918.92
1071,Ford,Focus III,2016,30000,Hatchback,13378.38
6360,Volkswagen,Golf,2018,8400,Hatchback,24189.19
3032,Ford,Focus III,2016,45000,Sedán,13243.24
9838,Ford,Ka,2011,97000,Hatchback,4189.19
4531,Volkswagen,Scirocco,2014,72000,Coupé,14324.32
6416,Honda,CR-V,2011,140300,SUV,11891.89
6226,Ford,Ranger,2014,135000,Pick-Up,14054.05
1423,Volkswagen,Amarok,2011,118000,Pick-Up,11486.49
9867,Ford,Ka,2013,50000,Hatchback,5108.11
8236,Ford,Ecosport,2015,20000,SUV,9189.19
8143,Ford,Fiesta Kinetic Design,2014,60000,Hatchback,7972.97
2999,Volkswagen,Suran,2013,70000,Monovolumen,6754.05
3744,Ford,Ka,2011,65000,Hatchback,4000.0
755,Ford,Ranger,2017,19000,Pick-Up,18378.38
1912,Volkswagen,Suran,2014,60000,Monovolumen,9189.19
8961,Volkswagen,Suran,2014,97000,Monovolumen,7297.3
4454,Volkswagen,Suran,2011,57000,Monovolumen,5337.84
