Energy(calc),Energy,Sum,Scan1,Scan2,KMG,BE1,Fermi,BE
181.2,180.51,131964,59550,72414,1253.6,1066.49,9,1073.09
181,180.32,131422,59762,71660,1253.6,1066.68,9,1073.28
180.8,180.11,133325,62693,70632,1253.6,1066.89,9,1073.49
180.6,179.91,134103,63243,70860,1253.6,1067.09,9,1073.69
180.4,179.7,134731,63428,71303,1253.6,1067.3,9,1073.9
180.2,179.56,134734,63069,71665,1253.6,1067.44,9,1074.04
180,179.29,136889,64341,72548,1253.6,1067.71,9,1074.31
179.8,179.11,139765,66869,72896,1253.6,1067.89,9,1074.49
179.6,178.91,140785,68073,72712,1253.6,1068.09,9,1074.69
179.4,178.73,143024,68950,74074,1253.6,1068.27,9,1074.87
179.2,178.48,146615,72245,74370,1253.6,1068.52,9,1075.12
179,178.3,153364,77738,75626,1253.6,1068.7,9,1075.3
178.8,178.15,154996,79150,75846,1253.6,1068.85,9,1075.45
178.6,177.92,156661,79529,77132,1253.6,1069.08,9,1075.68
178.4,177.76,157235,80580,76655,1253.6,1069.24,9,1075.84
178.2,177.58,158665,81464,77201,1253.6,1069.42,9,1076.02
178,177.41,158213,80927,77286,1253.6,1069.59,9,1076.19
177.8,177.12,162088,81015,81073,1253.6,1069.88,9,1076.48
177.6,176.92,163619,82272,81347,1253.6,1070.08,9,1076.68
177.4,176.73,163503,81914,81589,1253.6,1070.27,9,1076.87
177.2,176.49,164302,82512,81790,1253.6,1070.51,9,1077.11
177,176.29,164839,82551,82288,1253.6,1070.71,9,1077.31
176.8,176.13,166535,83359,83176,1253.6,1070.87,9,1077.47
176.6,175.98,166610,83201,83409,1253.6,1071.02,9,1077.62
176.4,175.72,166555,83157,83398,1253.6,1071.28,9,1077.88
176.2,175.58,167571,83556,84015,1253.6,1071.42,9,1078.02
176,175.4,168747,83476,85271,1253.6,1071.6,9,1078.2
175.8,175.2,168795,83399,85396,1253.6,1071.8,9,1078.4
175.6,174.99,167565,82637,84928,1253.6,1072.01,9,1078.61
175.4,174.77,165526,81875,83651,1253.6,1072.23,9,1078.83
175.2,174.58,165169,81578,83591,1253.6,1072.42,9,1079.02
175,174.36,163457,80463,82994,1253.6,1072.64,9,1079.24
174.8,174.16,164204,81549,82655,1253.6,1072.84,9,1079.44
174.6,173.98,163413,81597,81816,1253.6,1073.02,9,1079.62
174.4,173.78,161435,80930,80505,1253.6,1073.22,9,1079.82
174.2,173.57,160580,80422,80158,1253.6,1073.43,9,1080.03
174,173.41,159392,79758,79634,1253.6,1073.59,9,1080.19
173.8,173.27,159035,79461,79574,1253.6,1073.73,9,1080.33
173.6,173.11,159621,79175,80446,1253.6,1073.89,9,1080.49
173.4,172.89,158016,78859,79157,1253.6,1074.11,9,1080.71
173.2,172.72,154276,75203,79073,1253.6,1074.28,9,1080.88
173,172.53,154990,77476,77514,1253.6,1074.47,9,1081.07
172.8,172.29,151904,76582,75322,1253.6,1074.71,9,1081.31
172.6,172.12,149997,76404,73593,1253.6,1074.88,9,1081.48
172.4,171.91,149661,75869,73792,1253.6,1075.09,9,1081.69
172.2,171.72,149550,75369,74181,1253.6,1075.28,9,1081.88
172,171.5,149249,75106,74143,1253.6,1075.5,9,1082.1
171.8,171.34,149223,74735,74488,1253.6,1075.66,9,1082.26
171.6,171.17,149578,74658,74920,1253.6,1075.83,9,1082.43
171.4,171,149940,74647,75293,1253.6,1076,9,1082.6
171.2,170.84,149998,74769,75229,1253.6,1076.16,9,1082.76
171,170.68,149600,74348,75252,1253.6,1076.32,9,1082.92
170.8,170.52,150026,74152,75874,1253.6,1076.48,9,1083.08
170.6,170.25,151105,74924,76181,1253.6,1076.75,9,1083.35
170.4,170.06,150415,74631,75784,1253.6,1076.94,9,1083.54
170.2,169.87,151413,75128,76285,1253.6,1077.13,9,1083.73
170,169.68,151896,75364,76532,1253.6,1077.32,9,1083.92
169.8,169.41,151487,74986,76501,1253.6,1077.59,9,1084.19
169.6,169.22,152863,76043,76820,1253.6,1077.78,9,1084.38
169.4,169.04,152967,76452,76515,1253.6,1077.96,9,1084.56
169.2,168.79,152878,75683,77195,1253.6,1078.21,9,1084.81
169,168.66,152171,75597,76574,1253.6,1078.34,9,1084.94
168.8,168.51,152470,75369,77101,1253.6,1078.49,9,1085.09
168.6,168.34,153078,75663,77415,1253.6,1078.66,9,1085.26
168.4,168.15,153173,75422,77751,1253.6,1078.85,9,1085.45
168.2,167.98,153458,76156,77302,1253.6,1079.02,9,1085.62
168,167.8,152441,75707,76734,1253.6,1079.2,9,1085.8
167.8,167.57,153388,76444,76944,1253.6,1079.43,9,1086.03
167.6,167.36,153318,76004,77314,1253.6,1079.64,9,1086.24
167.4,167.16,153701,76427,77274,1253.6,1079.84,9,1086.44
167.2,166.97,154135,76749,77386,1253.6,1080.03,9,1086.63
167,166.69,154623,76950,77673,1253.6,1080.31,9,1086.91
166.8,166.52,154624,76825,77799,1253.6,1080.48,9,1087.08
166.6,166.35,155032,77278,77754,1253.6,1080.65,9,1087.25
166.4,166.18,155446,77107,78339,1253.6,1080.82,9,1087.42
166.2,165.96,155696,77100,78596,1253.6,1081.04,9,1087.64
166,165.83,155999,76987,79012,1253.6,1081.17,9,1087.77
165.8,165.67,156265,77689,78576,1253.6,1081.33,9,1087.93
165.6,165.44,157404,77733,79671,1253.6,1081.56,9,1088.16
165.4,165.27,157629,78012,79617,1253.6,1081.73,9,1088.33
165.2,165.1,157726,78366,79360,1253.6,1081.9,9,1088.5
165,164.91,157298,77842,79456,1253.6,1082.09,9,1088.69
164.8,164.67,157902,78296,79606,1253.6,1082.33,9,1088.93
164.6,164.48,158093,78122,79971,1253.6,1082.52,9,1089.12
164.4,164.28,158173,77986,80187,1253.6,1082.72,9,1089.32
164.2,164.05,158864,78478,80386,1253.6,1082.95,9,1089.55
164,163.86,158386,77840,80546,1253.6,1083.14,9,1089.74
163.8,163.71,158197,78143,80054,1253.6,1083.29,9,1089.89
163.6,163.6,158645,78501,80144,1253.6,1083.4,9,1090
163.4,163.38,159823,79892,79931,1253.6,1083.62,9,1090.22
163.2,163.21,160680,80250,80430,1253.6,1083.79,9,1090.39
163,163.06,160556,79643,80913,1253.6,1083.94,9,1090.54
162.8,162.86,159826,79292,80534,1253.6,1084.14,9,1090.74
162.6,162.6,159426,78865,80561,1253.6,1084.4,9,1091
162.4,162.4,158754,77802,80952,1253.6,1084.6,9,1091.2
162.2,162.2,158867,78028,80839,1253.6,1084.8,9,1091.4
162,161.95,159781,78012,81769,1253.6,1085.05,9,1091.65
161.8,161.76,160418,78655,81763,1253.6,1085.24,9,1091.84
161.6,161.55,160329,78561,81768,1253.6,1085.45,9,1092.05
161.4,161.39,158931,77734,81197,1253.6,1085.61,9,1092.21
161.2,161.21,159763,78837,80926,1253.6,1085.79,9,1092.39
161,161.03,159656,78899,80757,1253.6,1085.97,9,1092.57
160.8,160.88,159952,78645,81307,1253.6,1086.12,9,1092.72
160.6,160.7,160831,79105,81726,1253.6,1086.3,9,1092.9
160.4,160.43,159393,78518,80875,1253.6,1086.57,9,1093.17
160.2,160.24,160145,78705,81440,1253.6,1086.76,9,1093.36
160,160.06,159740,78971,80769,1253.6,1086.94,9,1093.54
159.8,159.77,161560,79850,81710,1253.6,1087.23,9,1093.83
159.6,159.59,162482,80691,81791,1253.6,1087.41,9,1094.01
159.4,159.39,162596,80815,81781,1253.6,1087.61,9,1094.21
159.2,159.19,163535,81200,82335,1253.6,1087.81,9,1094.41
159,158.95,163034,80331,82703,1253.6,1088.05,9,1094.65
158.8,158.81,162837,80933,81904,1253.6,1088.19,9,1094.79
158.6,158.63,163670,81313,82357,1253.6,1088.37,9,1094.97
